ratio,maximum,success
98.656,7808.0,1101.0
97.537,8425.0,1386.0
97.765,7552.0,1050.0
87.382,8194.0,1752.0
98.209,7462.0,932.0
83.017,7996.0,1662.0
98.061,7337.0,1062.0
72.342,8087.0,2409.0
99.187,7762.0,2073.0
78.674,8772.0,3892.0
99.286,8040.0,2504.0
79.502,9275.0,4565.0
99.801,8143.0,2502.0
87.728,9396.0,4754.0
99.689,7919.0,2888.0
90.112,9719.0,5778.0
99.643,8376.0,3353.0
84.402,10390.0,5806.0
99.201,8590.0,2730.0
99.275,10653.0,4247.0
99.562,8815.0,2727.0
99.264,10961.0,4179.0
99.655,8881.0,3756.0
49.488,11000.0,6867.0
99.48,8954.0,3638.0
65.629,10620.0,6091.0
99.274,8843.0,3143.0
84.198,10376.0,5925.0
99.535,8666.0,2996.0
80.023,10369.0,5620.0
99.401,8648.0,2986.0
85.319,10551.0,6143.0
99.356,8776.0,2933.0
78.947,10623.0,6221.0
99.438,8923.0,3187.0
66.59,10789.0,6065.0
99.419,9063.0,2907.0
75.192,10889.0,5974.0
99.185,9078.0,2557.0
75.468,10842.0,5808.0
99.213,9080.0,2270.0
80.436,10644.0,4794.0
99.064,8944.0,1799.0
77.798,10222.0,3802.0
99.295,8492.0,3240.0
77.025,9464.0,3490.0
98.658,7841.0,1103.0
87.008,8889.0,2210.0
97.814,7471.0,895.0
84.864,8497.0,1867.0
98.018,7278.0,890.0
83.562,8274.0,2069.0
97.816,7177.0,851.0
14.057,8145.0,2377.0
98.661,7499.0,1621.0
25.934,7191.0,5169.0
99.307,8129.0,2435.0
58.742,8343.0,4146.0
99.388,8737.0,3088.0
73.687,9336.0,4783.0
99.344,9514.0,3484.0
66.517,10069.0,5761.0
98.43,9888.0,3261.0
60.015,10502.0,4902.0
97.743,10064.0,3292.0
70.946,10761.0,5460.0
97.979,10121.0,3103.0
89.279,10884.0,5371.0
99.466,10172.0,2792.0
98.738,11134.0,4931.0
99.238,10166.0,2996.0
88.014,11182.0,6594.0
99.733,10109.0,7849.0
63.305,11151.0,9045.0
99.648,10120.0,3963.0
99.495,11348.0,5515.0
99.136,10116.0,3214.0
99.229,11430.0,4761.0
99.149,10020.0,2911.0
99.29,11409.0,4614.0
99.583,9814.0,2867.0
99.348,11563.0,5025.0
99.257,9598.0,2940.0
99.481,11820.0,4984.0
99.451,9611.0,2717.0
99.439,12040.0,5673.0
99.232,9649.0,2584.0
99.326,12040.0,5304.0
98.907,9509.0,1990.0
66.354,11878.0,6088.0
99.207,9325.0,1376.0
87.619,10769.0,2661.0
99.609,8825.0,3058.0
73.392,9885.0,3321.0
98.395,8149.0,981.0
69.811,9296.0,2109.0
97.959,7836.0,768.0
94.05,8814.0,1391.0
97.271,7647.0,713.0
92.033,8641.0,1444.0
97.892,7563.0,836.0
77.911,8511.0,1820.0
99.198,7603.0,1237.0
76.695,8906.0,3235.0
99.329,8085.0,2219.0
70.81,9919.0,5019.0
99.567,8805.0,3216.0
70.711,10689.0,5951.0
99.663,9393.0,4439.0
70.386,11287.0,6144.0
99.408,9748.0,3356.0
77.06,11541.0,5771.0
99.323,9924.0,3081.0
84.809,11779.0,5421.0
99.448,9960.0,3241.0
84.302,12023.0,5961.0
99.33,10015.0,3263.0
16.827,12036.0,6788.0
8.485,9968.0,7372.0
16.082,18208.0,24135.0
99.237,6093.0,4160.0
73.573,17159.0,8530.0
99.147,6322.0,2556.0
77.34,17293.0,8014.0
99.064,6425.0,2222.0
82.282,17261.0,6720.0
99.105,6492.0,2104.0
77.27,17006.0,6860.0
98.489,6502.0,2021.0
77.21,16747.0,7399.0
98.964,6570.0,2197.0
68.477,16504.0,7112.0
99.064,6719.0,2116.0
67.318,16526.0,7162.0
98.899,6791.0,2155.0
63.513,16283.0,6209.0
98.568,6745.0,1721.0
74.634,15896.0,5143.0
99.174,6569.0,1321.0
76.017,15134.0,3626.0
99.451,6225.0,2174.0
72.174,14185.0,3735.0
98.308,5823.0,1046.0
75.264,13243.0,2498.0
98.701,5572.0,836.0
90.154,12614.0,1932.0
98.83,5430.0,760.0
76.283,12321.0,2052.0
98.2,5422.0,873.0
73.693,12083.0,2538.0
98.987,5545.0,1173.0
59.59,12380.0,4014.0
98.704,6003.0,1904.0
53.544,13607.0,5741.0
99.5,6424.0,2588.0
51.459,14809.0,6544.0
99.219,6940.0,2796.0
55.05,15645.0,6584.0
99.0,7215.0,2673.0
64.156,16113.0,6941.0
98.509,7341.0,2642.0
6.441,16179.0,6678.0
98.372,8817.0,4109.0
1.961,5879.0,3191.0
99.138,9010.0,3335.0
36.316,10424.0,9716.0
99.018,9007.0,3025.0
92.708,11296.0,6776.0
99.426,8949.0,2947.0
99.008,11756.0,5689.0
99.448,8791.0,3244.0
99.309,12193.0,6040.0
98.847,8829.0,2829.0
97.267,12356.0,5268.0
99.419,8772.0,2567.0
71.8,12606.0,6551.0
99.236,8685.0,2727.0
91.552,12565.0,6242.0
99.564,8642.0,2741.0
87.977,12815.0,6564.0
99.728,8502.0,2933.0
81.21,12843.0,8121.0
99.467,8474.0,2613.0
78.503,12871.0,7457.0
99.154,8338.0,2460.0
87.186,12700.0,5552.0
99.033,8176.0,1741.0
84.235,12032.0,3644.0
99.442,7781.0,2852.0
73.51,11260.0,3391.0
98.849,7275.0,1116.0
84.175,10466.0,1984.0
98.9,6958.0,989.0
87.977,10044.0,1661.0
98.359,6789.0,959.0
79.97,9771.0,1601.0
98.928,6766.0,1200.0
83.497,9591.0,2297.0
99.083,6880.0,1404.0
65.207,9997.0,3709.0
99.494,7361.0,2557.0
56.706,11292.0,5192.0
99.619,7857.0,2874.0
70.62,12312.0,5930.0
99.407,8423.0,3184.0
62.564,12992.0,6155.0
99.131,8681.0,2851.0
70.658,13456.0,6237.0
99.323,8912.0,3081.0
87.468,13666.0,6407.0
72.693,13733.0,6365.0
2.544,13548.0,3978.0
99.378,8434.0,2398.0
98.585,8657.0,2230.0
3.267,7019.0,4199.0
69.461,8235.0,4267.0
99.464,8511.0,3898.0
77.213,8232.0,2172.0
98.509,7963.0,1255.0
98.865,7631.0,1220.0
84.323,8046.0,1775.0
98.33,7488.0,1001.0
85.968,7911.0,1648.0
98.503,7385.0,1053.0
83.668,7968.0,2295.0
98.737,7429.0,1485.0
60.95,8432.0,3067.0
99.573,7979.0,2566.0
61.583,9712.0,5367.0
99.284,8440.0,3051.0
63.214,10944.0,5858.0
99.389,9026.0,3417.0
64.431,11780.0,6052.0
99.277,9242.0,3296.0
60.84,12187.0,6345.0
99.007,9370.0,3591.0
64.638,12602.0,6690.0
99.381,9380.0,3211.0
74.474,12792.0,5908.0
99.38,9295.0,3045.0
87.841,12813.0,7051.0
99.145,9234.0,3015.0
72.131,12788.0,7462.0
99.502,9205.0,3000.0
87.096,12768.0,8349.0
99.294,9138.0,3093.0
99.497,12877.0,7712.0
99.456,9070.0,3108.0
51.839,12872.0,12528.0
99.466,9080.0,3353.0
74.818,11535.0,11198.0
99.432,9072.0,3151.0
66.6,11708.0,7968.0
99.269,8927.0,3532.0
62.484,12032.0,7713.0
99.474,8933.0,3780.0
67.919,12193.0,7736.0
99.289,8897.0,3632.0
57.661,12199.0,6537.0
99.161,8852.0,2482.0
69.573,12059.0,4820.0
99.168,8616.0,1788.0
73.708,11611.0,3650.0
99.184,8236.0,3282.0
70.772,10978.0,3758.0
98.529,7669.0,1139.0
84.644,10139.0,2486.0
98.307,7337.0,813.0
84.817,9720.0,2106.0
97.599,7143.0,813.0
86.01,9457.0,2158.0
98.382,7065.0,973.0
77.671,9304.0,2508.0
97.803,7079.0,1024.0
69.268,9568.0,3471.0
98.55,7593.0,2039.0
65.371,10462.0,4844.0
99.257,8003.0,2670.0
57.268,11331.0,5236.0
99.154,8385.0,3283.0
65.143,12102.0,6070.0
99.201,8724.0,2856.0
55.617,12424.0,5357.0
99.226,8838.0,2821.0
70.521,12680.0,6007.0
99.288,8903.0,2789.0
68.188,12692.0,6199.0
99.283,8934.0,2907.0
83.85,12724.0,6324.0
99.34,8862.0,2558.0
84.647,12634.0,6153.0
98.685,8809.0,2627.0
97.674,12842.0,5290.0
96.989,8764.0,2319.0
95.443,12844.0,5383.0
97.35,8701.0,2682.0
97.294,12782.0,5825.0
97.474,8631.0,2470.0
97.49,12864.0,5359.0
97.422,8603.0,3136.0
79.948,12847.0,9222.0
97.681,8691.0,3117.0
64.545,12648.0,6643.0
99.849,8704.0,2647.0
79.152,12839.0,7301.0
99.351,8657.0,2603.0
71.902,13010.0,6139.0
99.15,8620.0,2100.0
82.292,12739.0,4796.0
98.709,8447.0,1682.0
74.635,12175.0,3734.0
99.309,8105.0,3160.0
76.233,11483.0,4144.0
98.695,7540.0,1361.0
76.388,10565.0,2394.0
98.167,7183.0,964.0
98.228,10105.0,1718.0
98.255,6952.0,957.0
82.208,9808.0,2130.0
99.204,6822.0,997.0
79.83,9529.0,2161.0
98.354,6820.0,1195.0
76.818,9676.0,2651.0
98.904,7052.0,1625.0
64.527,10390.0,4182.0
99.363,7528.0,2341.0
62.681,11171.0,5353.0
99.299,7992.0,2693.0
53.085,11896.0,4990.0
99.356,8226.0,2623.0
69.72,12200.0,5595.0
99.495,8298.0,2561.0
69.733,12446.0,5322.0
